StarID	HIP	HD	HR	Gliese	BayerFlamsteed	ProperName	RA	Dec	Distance	PMRA	PMDec	RV	Mag	AbsMag	Spectrum	ColorIndex	X	Y	Z	VX	VY	VZ
85346	85605						17,49338577	24,65322144	4,9336425083	97,33	348,92		11,39	12,9241616134		1,101	-0,59296	-4,44455	2,05794	0,000002767	0,000003142	0,000007584
106099	106440	204961		Gl 832			21,55944896	-49,007018	4,9375401175	-46,18	-818,01	4,1	8,66	10,1924468135	M1V	1,521	2,59993	-1,93146	-3,7268	-0,000010314	0,000006285	-0,000016008
85952	86214			Gl 682			17,61784454	-44,31693542	5,0423557886	-710,11	-937,99	-60	10,94	12,4268325688	M5	1,655	-0,36034	-3,58969	-3,52272	-0,000011285	0,000061357	0,000026465
118282	0	26976		Gl 166  B			4,2582070369	-7,6097761608	5,0443906376	-2180,815	-3436,414	-21	9,52	11,0059564452	DA4	0,03	2,20178	4,48907	-0,668	0,000033605	-0,000052588	-0,000080449
118283	0			Gl 166  C			4,2582070369	-7,6097761608	5,0443906376	-2180,815	-3436,414	-45,9	11,17	12,6559564452	dM4.5e	1,67	2,20178	4,48907	-0,668	0,000022489	-0,00007525	-0,000077076
19799	19849	26965	1325	Gl 166  A	40Omi2Eri		4,25489948	-7,64455846	5,0443906376	-2239,33	-3419,86	-42,7	4,43	5,9159564452	K1V	0,82	2,20549	4,48679	-0,67104	0,000025142	-0,000072983	-0,000077075
112107	112460			Gl 873			22,78064081	44,33510774	5,0487201494	-704,66	-459,39	-0,5	10,29	11,7740935079	M4.5Ve	1,54	3,42872	-1,1333	3,52831	0,0000017	-0,000018726	-0,000008399
119199	0			Gl 702  B			18,0907559826	2,5135628348	5,0859525989	252,272	-1101,48	-10	6	7,4681384588	K5 Ve	1,15	0,12071	-5,07962	0,22304	0,000006003	0,000009171	-0,000027579
88328	88601	165341	6752	Gl 702  A	70    Oph		18,09089245	2,50243928	5,0859525989	124,56	-962,66	-6,9	4,03	5,4981384588	K0V SB	0,86	0,12089	-5,07966	0,22206	0,000002927	0,000006085	-0,00002402
97339	97649	187642	7557	Gl 768	53Alp Aql	Altair	19,84630057	8,86738491	5,1429746966	536,82	385,54	-26,1	0,76	2,203928062	A7IV-V	0,221	2,36166	-4,49935	0,79277	-0,000001095	0,000030884	0,000005382
1240	1242			GJ 1005 A			0,25768536	-16,13230661	5,2121338476	728,18	-617,48	-29	11,49	12,9049222007	M:	1,75	4,9955	0,33751	-1,44822	-0,000033991	0,000016144	-0,000006746
118579	0			GJ 1116 A			8,9717059155	19,7637722498	5,2273915316	-869,299	-34,914	-34	14,06	15,4685748501	m	1,84	-3,45272	3,50426	1,7676	0,000038449	-0,000007636	-0,00001259
118580	0			GJ 1116 B			8,971706356	19,7654389198	5,2273915316	-869,299	-34,914		14,92	16,3285748501	m	1,93	-3,45269	3,50422	1,76774	0,000015481	0,000015674	-0,000000832
118407	0			NN 3379			6,0007795325	2,7081175117	5,3676865271	228,253	-74,164		11,33	12,6810642745	M4	1,68	-0,00109	5,36169	0,25361	-0,000005939	0,000000089	-0,000001927
57372	57544			Gl 445			11,79421273	78,68999275	5,3914168644	743,21	480,4	-112,2	10,8	12,1414854361	M4	1,572	-1,05581	0,05693	5,28671	0,000033719	-0,000021271	-0,000110058
66944	67155	119850		Gl 526			13,76186198	14,89505746	5,4309455276	1778,46	-1455,52	16,1	8,46	9,7856227658	M3V	1,435	-4,69996	-2,33593	1,39602	-0,000002231	-0,000053395	-0,0000328
102709	103039						20,87589014	-16,9748128	5,4899807851	-306,7	30,78		11,41	12,7121458779		1,653	3,59029	-3,83153	-1,6028	-0,000005792	-0,000005755	0,000000783
21036	21088			Gl 169.1A			4,51945726	58,98205252	5,5138950154	1300,21	-2048,99	17	10,82	12,1127075356		1,17	1,07395	2,63056	4,72544	-0,000011048	0,000064886	-0,000013322
118312	0			Gl 169.1B			4,5173222366	59,0084619029	5,5138950154	1371,908	-1944,804		12,44	13,7327075356	DC5	0,31	1,07459	2,62794	4,72674	-0,000017076	0,000055127	-0,000026767
33139	33226	265866					6,91374031	33,26914569	5,5151114053	-729,33	-399,31		9,89	11,1822285519	K:...	1,58	-1,09258	4,47989	3,02543	0,000017556	0,000010309	-0,000008926
52866	53020			Gl 402			10,84792698	6,81011677	5,6350726924	-804,4	-809,6	-0,9	11,64	12,8855023859	M4:	1,679	-5,34273	1,66214	0,6682	0,000004896	0,000021489	-0,000022069
25813	25878	36395		Gl 205			5,52415293	-3,67214214	5,6908718416	763,05	-2092,89	8,5	7,97	9,194105973	M1V	1,474	0,70566	5,63517	-0,36448	-0,000020269	0,000007554	-0,000058176
119277	0			Gl 754			19,3458539996	-45,5197552556	5,6915196357	646,347	-2868,071	16	12,23	13,4538588075	M4.5	1,68	1,37619	-3,74285	-4,06085	0,000001209	0,000048385	-0,00006712
82566	82817	152751		Gl 644  A			16,92478998	-8,33420783	5,7395396889	-829,34	-878,81	12,1	9,02	10,2256146831	M3Ve	1,553	-1,57753	-5,45542	-0,83192	-0,000024583	-0,000001947	-0,000025987
119113	0			Gl 644  B			16,9252549569	-8,3254592178	5,7395396889	-792,63	-874,149		9,9	11,1056146831			-1,5769	-5,45573	-0,83106	-0,000020208	0,000009506	-0,000024065
119114	0			Gl 644  C			16,9272182655	-8,3836568879	5,7395396889	-803,952	-877,36	20	16,78	17,9856146831	M7	1,99	-1,57386	-5,45573	-0,83682	-0,000026114	-0,000009823	-0,000027132
118448	0			Gl 251			6,9143031782	33,2762058129	5,7603686636	-752,584	-395,115	22,9	10,01	11,2077486042	dM4	1,57	-1,14177	4,67856	3,16057	0,000014339	0,000029885	0,000003625
95800	96100	185144	7462	Gl 764	61Sig Dra		19,53905179	69,66540172	5,7666801223	598,43	-1738,81	28,2	4,67	5,8653706912	K0V	0,786	0,78575	-1,84345	5,40729	0,000037191	-0,000044589	0,000010151
